embedding_id,document_id,embedding_vector,model_name,created_at
1,1,"[0.4139, 0.5331, 0.1006]",text-embedding-3-small,2026-01-01 00:01:00
2,2,"[0.1657, 0.1878, 0.5629]",text-embedding-3-small,2026-01-01 00:02:00
3,3,"[0.6103, 0.9040, 0.5731]",text-embedding-3-small,2026-01-01 00:03:00
4,4,"[0.3956, 0.8379, 0.0422]",text-embedding-3-small,2026-01-01 00:04:00
5,5,"[0.0728, 0.2811, 0.6934]",text-embedding-3-small,2026-01-01 00:05:00
6,6,"[0.5286, 0.3015, 0.6112]",text-embedding-3-small,2026-01-01 00:06:00
7,7,"[0.3565, 0.6936, 0.2581]",text-embedding-3-small,2026-01-01 00:07:00
8,8,"[0.8780, 0.2325, 0.3809]",text-embedding-3-small,2026-01-01 00:08:00
9,9,"[0.4879, 0.5849, 0.3877]",text-embedding-3-small,2026-01-01 00:09:00
10,10,"[0.0803, 0.4481, 0.6826]",text-embedding-3-small,2026-01-01 00:10:00
11,11,"[0.8402, 0.8955, 0.1340]",text-embedding-3-small,2026-01-01 00:11:00
12,12,"[0.1881, 0.5472, 0.0432]",text-embedding-3-small,2026-01-01 00:12:00
13,13,"[0.9928, 0.6710, 0.1070]",text-embedding-3-small,2026-01-01 00:13:00
14,14,"[0.2988, 0.1872, 0.9838]",text-embedding-3-small,2026-01-01 00:14:00
15,15,"[0.6011, 0.1366, 0.8381]",text-embedding-3-small,2026-01-01 00:15:00
16,16,"[0.9876, 0.4472, 0.4270]",text-embedding-3-small,2026-01-01 00:16:00
17,17,"[0.9066, 0.3369, 0.3254]",text-embedding-3-small,2026-01-01 00:17:00
18,18,"[0.1326, 0.0800, 0.1920]",text-embedding-3-small,2026-01-01 00:18:00
19,19,"[0.5778, 0.4456, 0.1010]",text-embedding-3-small,2026-01-01 00:19:00
20,20,"[0.7643, 0.6571, 0.9651]",text-embedding-3-small,2026-01-01 00:20:00
